iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
BEST RESULT TILL NOW: val_seen | Iter 62405 iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
BEST RESULT TILL NOW: val_unseen | Iter 62405 iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
iter 62631, train , nav_error: 2.7066, oracle_error: 1.8126, steps: 26.0251, lengths: 10.2078, success_rate: 0.7310, oracle_rate: 0.7943, spl: 0.6949, val_seen , nav_error: 5.0553, oracle_error: 3.3570, steps: 27.5348, lengths: 10.5917, success_rate: 0.5338, oracle_rate: 0.6190, spl: 0.5035, val_unseen , nav_error: 5.4385, oracle_error: 3.4781, steps: 27.1277, lengths: 10.4438, success_rate: 0.4781, oracle_rate: 0.5726, spl: 0.4396
BEST RESULT TILL NOW: val_seen | Iter 62631 iter 62631, train , nav_error: 2.7066, oracle_error: 1.8126, steps: 26.0251, lengths: 10.2078, success_rate: 0.7310, oracle_rate: 0.7943, spl: 0.6949, val_seen , nav_error: 5.0553, oracle_error: 3.3570, steps: 27.5348, lengths: 10.5917, success_rate: 0.5338, oracle_rate: 0.6190, spl: 0.5035, val_unseen , nav_error: 5.4385, oracle_error: 3.4781, steps: 27.1277, lengths: 10.4438, success_rate: 0.4781, oracle_rate: 0.5726, spl: 0.4396
BEST RESULT TILL NOW: val_unseen | Iter 62405 iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_seen | Iter 62835 iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_unseen | Iter 62405 iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
iter 63092, train , nav_error: 2.7785, oracle_error: 1.9435, steps: 25.2687, lengths: 10.0059, success_rate: 0.7219, oracle_rate: 0.7767, spl: 0.6893, val_seen , nav_error: 5.0286, oracle_error: 3.3950, steps: 26.0294, lengths: 10.2747, success_rate: 0.5348, oracle_rate: 0.6141, spl: 0.5068, val_unseen , nav_error: 5.3937, oracle_error: 3.5508, steps: 25.7216, lengths: 10.0864, success_rate: 0.4811, oracle_rate: 0.5645, spl: 0.4440
BEST RESULT TILL NOW: val_seen | Iter 62835 iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_unseen | Iter 62405 iter 62405, train , nav_error: 2.6931, oracle_error: 1.8254, steps: 25.7633, lengths: 10.1515, success_rate: 0.7295, oracle_rate: 0.7879, spl: 0.6955, val_seen , nav_error: 5.0512, oracle_error: 3.3636, steps: 27.0793, lengths: 10.5744, success_rate: 0.5299, oracle_rate: 0.6161, spl: 0.5012, val_unseen , nav_error: 5.4103, oracle_error: 3.5130, steps: 26.4308, lengths: 10.3189, success_rate: 0.4828, oracle_rate: 0.5688, spl: 0.4444
iter 63312, train , nav_error: 2.7938, oracle_error: 1.9295, steps: 26.1603, lengths: 10.2021, success_rate: 0.7222, oracle_rate: 0.7798, spl: 0.6873, val_seen , nav_error: 5.0564, oracle_error: 3.4332, steps: 27.2214, lengths: 10.4565, success_rate: 0.5269, oracle_rate: 0.6043, spl: 0.4989, val_unseen , nav_error: 5.3311, oracle_error: 3.4956, steps: 27.6850, lengths: 10.5122, success_rate: 0.4828, oracle_rate: 0.5739, spl: 0.4452
BEST RESULT TILL NOW: val_seen | Iter 62835 iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_unseen | Iter 63312 iter 63312, train , nav_error: 2.7938, oracle_error: 1.9295, steps: 26.1603, lengths: 10.2021, success_rate: 0.7222, oracle_rate: 0.7798, spl: 0.6873, val_seen , nav_error: 5.0564, oracle_error: 3.4332, steps: 27.2214, lengths: 10.4565, success_rate: 0.5269, oracle_rate: 0.6043, spl: 0.4989, val_unseen , nav_error: 5.3311, oracle_error: 3.4956, steps: 27.6850, lengths: 10.5122, success_rate: 0.4828, oracle_rate: 0.5739, spl: 0.4452
