iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
BEST RESULT TILL NOW: val_seen | Iter 50917 iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
BEST RESULT TILL NOW: val_unseen | Iter 50917 iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
iter 51143, train , nav_error: 2.1332, oracle_error: 1.4603, steps: 26.2926, lengths: 10.3242, success_rate: 0.7907, oracle_rate: 0.8399, spl: 0.7564, val_seen , nav_error: 4.8315, oracle_error: 3.1904, steps: 27.8129, lengths: 10.8330, success_rate: 0.5465, oracle_rate: 0.6327, spl: 0.5139, val_unseen , nav_error: 5.2466, oracle_error: 3.4055, steps: 29.0558, lengths: 11.1506, success_rate: 0.4964, oracle_rate: 0.5824, spl: 0.4557
BEST RESULT TILL NOW: val_seen | Iter 50917 iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
BEST RESULT TILL NOW: val_unseen | Iter 51143 iter 51143, train , nav_error: 2.1332, oracle_error: 1.4603, steps: 26.2926, lengths: 10.3242, success_rate: 0.7907, oracle_rate: 0.8399, spl: 0.7564, val_seen , nav_error: 4.8315, oracle_error: 3.1904, steps: 27.8129, lengths: 10.8330, success_rate: 0.5465, oracle_rate: 0.6327, spl: 0.5139, val_unseen , nav_error: 5.2466, oracle_error: 3.4055, steps: 29.0558, lengths: 11.1506, success_rate: 0.4964, oracle_rate: 0.5824, spl: 0.4557
iter 51347, train , nav_error: 2.2050, oracle_error: 1.4442, steps: 27.6124, lengths: 10.8537, success_rate: 0.7837, oracle_rate: 0.8432, spl: 0.7441, val_seen , nav_error: 4.8721, oracle_error: 3.0677, steps: 28.9383, lengths: 11.6612, success_rate: 0.5504, oracle_rate: 0.6435, spl: 0.5099, val_unseen , nav_error: 5.2842, oracle_error: 3.2461, steps: 33.6454, lengths: 12.7812, success_rate: 0.4862, oracle_rate: 0.6058, spl: 0.4405
BEST RESULT TILL NOW: val_seen | Iter 50917 iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
BEST RESULT TILL NOW: val_unseen | Iter 51143 iter 51143, train , nav_error: 2.1332, oracle_error: 1.4603, steps: 26.2926, lengths: 10.3242, success_rate: 0.7907, oracle_rate: 0.8399, spl: 0.7564, val_seen , nav_error: 4.8315, oracle_error: 3.1904, steps: 27.8129, lengths: 10.8330, success_rate: 0.5465, oracle_rate: 0.6327, spl: 0.5139, val_unseen , nav_error: 5.2466, oracle_error: 3.4055, steps: 29.0558, lengths: 11.1506, success_rate: 0.4964, oracle_rate: 0.5824, spl: 0.4557
iter 51604, train , nav_error: 2.1576, oracle_error: 1.5419, steps: 26.2733, lengths: 10.2256, success_rate: 0.7899, oracle_rate: 0.8314, spl: 0.7587, val_seen , nav_error: 4.8711, oracle_error: 3.2712, steps: 27.2840, lengths: 10.6604, success_rate: 0.5504, oracle_rate: 0.6210, spl: 0.5187, val_unseen , nav_error: 5.2600, oracle_error: 3.4771, steps: 29.9787, lengths: 11.2394, success_rate: 0.4815, oracle_rate: 0.5666, spl: 0.4436
BEST RESULT TILL NOW: val_seen | Iter 50917 iter 50917, train , nav_error: 2.0869, oracle_error: 1.4000, steps: 26.1512, lengths: 10.3065, success_rate: 0.7934, oracle_rate: 0.8455, spl: 0.7596, val_seen , nav_error: 4.7645, oracle_error: 3.0679, steps: 27.4809, lengths: 10.8712, success_rate: 0.5553, oracle_rate: 0.6494, spl: 0.5228, val_unseen , nav_error: 5.3379, oracle_error: 3.4016, steps: 28.4674, lengths: 10.9631, success_rate: 0.4840, oracle_rate: 0.5832, spl: 0.4441
