iter 50917, train , nav_error: 2.1107, oracle_error: 1.4014, steps: 26.4345, lengths: 10.2920, success_rate: 0.7902, oracle_rate: 0.8446, spl: 0.7551, val_seen , nav_error: 4.9241, oracle_error: 3.1459, steps: 27.8139, lengths: 10.7961, success_rate: 0.5446, oracle_rate: 0.6347, spl: 0.5123, val_unseen , nav_error: 5.3032, oracle_error: 3.3919, steps: 28.9527, lengths: 11.0227, success_rate: 0.4879, oracle_rate: 0.5849, spl: 0.4475
BEST RESULT TILL NOW: val_seen | Iter 50917 iter 50917, train , nav_error: 2.1107, oracle_error: 1.4014, steps: 26.4345, lengths: 10.2920, success_rate: 0.7902, oracle_rate: 0.8446, spl: 0.7551, val_seen , nav_error: 4.9241, oracle_error: 3.1459, steps: 27.8139, lengths: 10.7961, success_rate: 0.5446, oracle_rate: 0.6347, spl: 0.5123, val_unseen , nav_error: 5.3032, oracle_error: 3.3919, steps: 28.9527, lengths: 11.0227, success_rate: 0.4879, oracle_rate: 0.5849, spl: 0.4475
BEST RESULT TILL NOW: val_unseen | Iter 50917 iter 50917, train , nav_error: 2.1107, oracle_error: 1.4014, steps: 26.4345, lengths: 10.2920, success_rate: 0.7902, oracle_rate: 0.8446, spl: 0.7551, val_seen , nav_error: 4.9241, oracle_error: 3.1459, steps: 27.8139, lengths: 10.7961, success_rate: 0.5446, oracle_rate: 0.6347, spl: 0.5123, val_unseen , nav_error: 5.3032, oracle_error: 3.3919, steps: 28.9527, lengths: 11.0227, success_rate: 0.4879, oracle_rate: 0.5849, spl: 0.4475
iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
BEST RESULT TILL NOW: val_seen | Iter 51143 iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
BEST RESULT TILL NOW: val_unseen | Iter 51143 iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
iter 51347, train , nav_error: 2.2523, oracle_error: 1.4358, steps: 27.9600, lengths: 10.8867, success_rate: 0.7789, oracle_rate: 0.8440, spl: 0.7369, val_seen , nav_error: 4.9405, oracle_error: 3.0740, steps: 29.6650, lengths: 11.5768, success_rate: 0.5436, oracle_rate: 0.6386, spl: 0.5039, val_unseen , nav_error: 5.2025, oracle_error: 3.2446, steps: 32.7182, lengths: 12.2923, success_rate: 0.4896, oracle_rate: 0.6003, spl: 0.4462
BEST RESULT TILL NOW: val_seen | Iter 51143 iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
BEST RESULT TILL NOW: val_unseen | Iter 51143 iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
iter 51604, train , nav_error: 2.1155, oracle_error: 1.4852, steps: 26.1265, lengths: 10.3085, success_rate: 0.7917, oracle_rate: 0.8372, spl: 0.7593, val_seen , nav_error: 4.7019, oracle_error: 3.1115, steps: 26.8952, lengths: 10.7186, success_rate: 0.5563, oracle_rate: 0.6376, spl: 0.5238, val_unseen , nav_error: 5.2146, oracle_error: 3.3606, steps: 29.2716, lengths: 11.1320, success_rate: 0.4947, oracle_rate: 0.5892, spl: 0.4566
BEST RESULT TILL NOW: val_seen | Iter 51143 iter 51143, train , nav_error: 2.0637, oracle_error: 1.4087, steps: 26.3074, lengths: 10.3116, success_rate: 0.7963, oracle_rate: 0.8454, spl: 0.7623, val_seen , nav_error: 4.7286, oracle_error: 3.0959, steps: 28.1792, lengths: 10.9464, success_rate: 0.5642, oracle_rate: 0.6415, spl: 0.5306, val_unseen , nav_error: 5.1710, oracle_error: 3.3229, steps: 29.5338, lengths: 11.2590, success_rate: 0.5011, oracle_rate: 0.5888, spl: 0.4579
