iter 233, val_unseen , nav_error: 8.9100, oracle_error: 5.7304, steps: 20.3959, lengths: 8.7379, success_rate: 0.2324, oracle_rate: 0.2835, spl: 0.2156, val_seen , nav_error: 8.6294, oracle_error: 5.9275, steps: 21.9334, lengths: 8.7374, success_rate: 0.2527, oracle_rate: 0.3036, spl: 0.2405, train , nav_error: 8.6615, oracle_error: 5.7673, steps: 21.3491, lengths: 8.7716, success_rate: 0.2419, oracle_rate: 0.3108, spl: 0.2279
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 8.9100, oracle_error: 5.7304, steps: 20.3959, lengths: 8.7379, success_rate: 0.2324, oracle_rate: 0.2835, spl: 0.2156, val_seen , nav_error: 8.6294, oracle_error: 5.9275, steps: 21.9334, lengths: 8.7374, success_rate: 0.2527, oracle_rate: 0.3036, spl: 0.2405, train , nav_error: 8.6615, oracle_error: 5.7673, steps: 21.3491, lengths: 8.7716, success_rate: 0.2419, oracle_rate: 0.3108, spl: 0.2279
BEST RESULT TILL NOW: val_unseen | Iter 233 iter 233, val_unseen , nav_error: 8.9100, oracle_error: 5.7304, steps: 20.3959, lengths: 8.7379, success_rate: 0.2324, oracle_rate: 0.2835, spl: 0.2156, val_seen , nav_error: 8.6294, oracle_error: 5.9275, steps: 21.9334, lengths: 8.7374, success_rate: 0.2527, oracle_rate: 0.3036, spl: 0.2405, train , nav_error: 8.6615, oracle_error: 5.7673, steps: 21.3491, lengths: 8.7716, success_rate: 0.2419, oracle_rate: 0.3108, spl: 0.2279
iter 460, val_unseen , nav_error: 8.4137, oracle_error: 5.5558, steps: 19.2120, lengths: 8.5339, success_rate: 0.2499, oracle_rate: 0.3069, spl: 0.2350, val_seen , nav_error: 7.9994, oracle_error: 5.6168, steps: 21.5877, lengths: 8.5694, success_rate: 0.2723, oracle_rate: 0.3203, spl: 0.2626, train , nav_error: 8.2048, oracle_error: 5.6044, steps: 20.5322, lengths: 8.5800, success_rate: 0.2655, oracle_rate: 0.3265, spl: 0.2518
BEST RESULT TILL NOW: val_seen | Iter 460 iter 460, val_unseen , nav_error: 8.4137, oracle_error: 5.5558, steps: 19.2120, lengths: 8.5339, success_rate: 0.2499, oracle_rate: 0.3069, spl: 0.2350, val_seen , nav_error: 7.9994, oracle_error: 5.6168, steps: 21.5877, lengths: 8.5694, success_rate: 0.2723, oracle_rate: 0.3203, spl: 0.2626, train , nav_error: 8.2048, oracle_error: 5.6044, steps: 20.5322, lengths: 8.5800, success_rate: 0.2655, oracle_rate: 0.3265, spl: 0.2518
BEST RESULT TILL NOW: val_unseen | Iter 460 iter 460, val_unseen , nav_error: 8.4137, oracle_error: 5.5558, steps: 19.2120, lengths: 8.5339, success_rate: 0.2499, oracle_rate: 0.3069, spl: 0.2350, val_seen , nav_error: 7.9994, oracle_error: 5.6168, steps: 21.5877, lengths: 8.5694, success_rate: 0.2723, oracle_rate: 0.3203, spl: 0.2626, train , nav_error: 8.2048, oracle_error: 5.6044, steps: 20.5322, lengths: 8.5800, success_rate: 0.2655, oracle_rate: 0.3265, spl: 0.2518
iter 669, val_unseen , nav_error: 8.1102, oracle_error: 5.3419, steps: 20.4168, lengths: 8.5955, success_rate: 0.2682, oracle_rate: 0.3342, spl: 0.2513, val_seen , nav_error: 7.8532, oracle_error: 5.4181, steps: 22.6905, lengths: 8.7675, success_rate: 0.2958, oracle_rate: 0.3555, spl: 0.2856, train , nav_error: 7.8270, oracle_error: 5.3273, steps: 21.5098, lengths: 8.7557, success_rate: 0.2882, oracle_rate: 0.3579, spl: 0.2718
BEST RESULT TILL NOW: val_seen | Iter 669 iter 669, val_unseen , nav_error: 8.1102, oracle_error: 5.3419, steps: 20.4168, lengths: 8.5955, success_rate: 0.2682, oracle_rate: 0.3342, spl: 0.2513, val_seen , nav_error: 7.8532, oracle_error: 5.4181, steps: 22.6905, lengths: 8.7675, success_rate: 0.2958, oracle_rate: 0.3555, spl: 0.2856, train , nav_error: 7.8270, oracle_error: 5.3273, steps: 21.5098, lengths: 8.7557, success_rate: 0.2882, oracle_rate: 0.3579, spl: 0.2718
BEST RESULT TILL NOW: val_unseen | Iter 669 iter 669, val_unseen , nav_error: 8.1102, oracle_error: 5.3419, steps: 20.4168, lengths: 8.5955, success_rate: 0.2682, oracle_rate: 0.3342, spl: 0.2513, val_seen , nav_error: 7.8532, oracle_error: 5.4181, steps: 22.6905, lengths: 8.7675, success_rate: 0.2958, oracle_rate: 0.3555, spl: 0.2856, train , nav_error: 7.8270, oracle_error: 5.3273, steps: 21.5098, lengths: 8.7557, success_rate: 0.2882, oracle_rate: 0.3579, spl: 0.2718
iter 922, val_unseen , nav_error: 7.7256, oracle_error: 5.2601, steps: 20.2576, lengths: 8.3489, success_rate: 0.2793, oracle_rate: 0.3359, spl: 0.2643, val_seen , nav_error: 7.6923, oracle_error: 5.4522, steps: 21.9344, lengths: 8.5024, success_rate: 0.2977, oracle_rate: 0.3428, spl: 0.2883, train , nav_error: 7.5057, oracle_error: 5.2574, steps: 21.2298, lengths: 8.5141, success_rate: 0.3015, oracle_rate: 0.3647, spl: 0.2872
BEST RESULT TILL NOW: val_seen | Iter 922 iter 922, val_unseen , nav_error: 7.7256, oracle_error: 5.2601, steps: 20.2576, lengths: 8.3489, success_rate: 0.2793, oracle_rate: 0.3359, spl: 0.2643, val_seen , nav_error: 7.6923, oracle_error: 5.4522, steps: 21.9344, lengths: 8.5024, success_rate: 0.2977, oracle_rate: 0.3428, spl: 0.2883, train , nav_error: 7.5057, oracle_error: 5.2574, steps: 21.2298, lengths: 8.5141, success_rate: 0.3015, oracle_rate: 0.3647, spl: 0.2872
