iter 233, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
BEST RESULT TILL NOW: val_unseen | Iter 233 iter 233, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
iter 62392, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
BEST RESULT TILL NOW: val_seen | Iter 62392 iter 62392, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
BEST RESULT TILL NOW: val_unseen | Iter 62392 iter 62392, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
iter 62619, val_unseen , nav_error: 5.2601, oracle_error: 3.4887, steps: 28.8519, lengths: 10.9330, success_rate: 0.4943, oracle_rate: 0.5722, spl: 0.4538, val_seen , nav_error: 4.6645, oracle_error: 3.2495, steps: 27.0695, lengths: 10.4916, success_rate: 0.5485, oracle_rate: 0.6200, spl: 0.5218, train , nav_error: 2.5805, oracle_error: 1.8423, steps: 26.0759, lengths: 10.1384, success_rate: 0.7400, oracle_rate: 0.7877, spl: 0.7088
BEST RESULT TILL NOW: val_seen | Iter 62619 iter 62619, val_unseen , nav_error: 5.2601, oracle_error: 3.4887, steps: 28.8519, lengths: 10.9330, success_rate: 0.4943, oracle_rate: 0.5722, spl: 0.4538, val_seen , nav_error: 4.6645, oracle_error: 3.2495, steps: 27.0695, lengths: 10.4916, success_rate: 0.5485, oracle_rate: 0.6200, spl: 0.5218, train , nav_error: 2.5805, oracle_error: 1.8423, steps: 26.0759, lengths: 10.1384, success_rate: 0.7400, oracle_rate: 0.7877, spl: 0.7088
BEST RESULT TILL NOW: val_unseen | Iter 62392 iter 62392, val_unseen , nav_error: 5.2482, oracle_error: 3.4178, steps: 30.0353, lengths: 11.3758, success_rate: 0.5011, oracle_rate: 0.5819, spl: 0.4584, val_seen , nav_error: 4.7686, oracle_error: 3.2168, steps: 28.0274, lengths: 10.8019, success_rate: 0.5475, oracle_rate: 0.6288, spl: 0.5152, train , nav_error: 2.5652, oracle_error: 1.7584, steps: 26.6659, lengths: 10.3629, success_rate: 0.7421, oracle_rate: 0.7978, spl: 0.7070
iter 62828, val_unseen , nav_error: 5.3830, oracle_error: 3.4051, steps: 28.9817, lengths: 11.0070, success_rate: 0.4887, oracle_rate: 0.5815, spl: 0.4443, val_seen , nav_error: 4.8253, oracle_error: 3.2081, steps: 28.0313, lengths: 10.8037, success_rate: 0.5475, oracle_rate: 0.6396, spl: 0.5102, train , nav_error: 2.5778, oracle_error: 1.7221, steps: 26.8830, lengths: 10.4062, success_rate: 0.7444, oracle_rate: 0.8027, spl: 0.7068
BEST RESULT TILL NOW: val_seen | Iter 62619 iter 62619, val_unseen , nav_error: 5.2601, oracle_error: 3.4887, steps: 28.8519, lengths: 10.9330, success_rate: 0.4943, oracle_rate: 0.5722, spl: 0.4538, val_seen , nav_error: 4.6645, oracle_error: 3.2495, steps: 27.0695, lengths: 10.4916, success_rate: 0.5485, oracle_rate: 0.6200, spl: 0.5218, train , nav_error: 2.5805, oracle_error: 1.8423, steps: 26.0759, lengths: 10.1384, success_rate: 0.7400, oracle_rate: 0.7877, spl: 0.7088
