iter 460, val_unseen , nav_error: 7.2156, oracle_error: 4.7553, steps: 22.6824, lengths: 9.2961, cls: 0.5023, ndtw: 0.3686, sdtw: 0.2318, success_rate: 0.3184, oracle_rate: 0.4023, spl: 0.2965, val_seen , nav_error: 7.6098, oracle_error: 5.1009, steps: 24.1900, lengths: 9.6226, cls: 0.5128, ndtw: 0.3724, sdtw: 0.2355, success_rate: 0.3262, oracle_rate: 0.4016, spl: 0.3062, train , nav_error: 7.1987, oracle_error: 4.8001, steps: 23.7970, lengths: 9.5249, cls: 0.5198, ndtw: 0.3785, sdtw: 0.2409, success_rate: 0.3276, oracle_rate: 0.4189, spl: 0.3065
BEST RESULT TILL NOW: val_seen | Iter 460 iter 460, val_unseen , nav_error: 7.2156, oracle_error: 4.7553, steps: 22.6824, lengths: 9.2961, cls: 0.5023, ndtw: 0.3686, sdtw: 0.2318, success_rate: 0.3184, oracle_rate: 0.4023, spl: 0.2965, val_seen , nav_error: 7.6098, oracle_error: 5.1009, steps: 24.1900, lengths: 9.6226, cls: 0.5128, ndtw: 0.3724, sdtw: 0.2355, success_rate: 0.3262, oracle_rate: 0.4016, spl: 0.3062, train , nav_error: 7.1987, oracle_error: 4.8001, steps: 23.7970, lengths: 9.5249, cls: 0.5198, ndtw: 0.3785, sdtw: 0.2409, success_rate: 0.3276, oracle_rate: 0.4189, spl: 0.3065
BEST RESULT TILL NOW: val_unseen | Iter 460 iter 460, val_unseen , nav_error: 7.2156, oracle_error: 4.7553, steps: 22.6824, lengths: 9.2961, cls: 0.5023, ndtw: 0.3686, sdtw: 0.2318, success_rate: 0.3184, oracle_rate: 0.4023, spl: 0.2965, val_seen , nav_error: 7.6098, oracle_error: 5.1009, steps: 24.1900, lengths: 9.6226, cls: 0.5128, ndtw: 0.3724, sdtw: 0.2355, success_rate: 0.3262, oracle_rate: 0.4016, spl: 0.3062, train , nav_error: 7.1987, oracle_error: 4.8001, steps: 23.7970, lengths: 9.5249, cls: 0.5198, ndtw: 0.3785, sdtw: 0.2409, success_rate: 0.3276, oracle_rate: 0.4189, spl: 0.3065
iter 911, val_unseen , nav_error: 7.0934, oracle_error: 4.6006, steps: 24.0140, lengths: 9.3769, cls: 0.5155, ndtw: 0.3708, sdtw: 0.2402, success_rate: 0.3355, oracle_rate: 0.4283, spl: 0.3107, val_seen , nav_error: 7.3492, oracle_error: 5.0182, steps: 23.6180, lengths: 9.3904, cls: 0.5220, ndtw: 0.3752, sdtw: 0.2203, success_rate: 0.3095, oracle_rate: 0.3869, spl: 0.2931, train , nav_error: 6.8623, oracle_error: 4.6224, steps: 24.0977, lengths: 9.4369, cls: 0.5367, ndtw: 0.3929, sdtw: 0.2580, success_rate: 0.3527, oracle_rate: 0.4420, spl: 0.3297
BEST RESULT TILL NOW: val_seen | Iter 460 iter 460, val_unseen , nav_error: 7.2156, oracle_error: 4.7553, steps: 22.6824, lengths: 9.2961, cls: 0.5023, ndtw: 0.3686, sdtw: 0.2318, success_rate: 0.3184, oracle_rate: 0.4023, spl: 0.2965, val_seen , nav_error: 7.6098, oracle_error: 5.1009, steps: 24.1900, lengths: 9.6226, cls: 0.5128, ndtw: 0.3724, sdtw: 0.2355, success_rate: 0.3262, oracle_rate: 0.4016, spl: 0.3062, train , nav_error: 7.1987, oracle_error: 4.8001, steps: 23.7970, lengths: 9.5249, cls: 0.5198, ndtw: 0.3785, sdtw: 0.2409, success_rate: 0.3276, oracle_rate: 0.4189, spl: 0.3065
BEST RESULT TILL NOW: val_unseen | Iter 911 iter 911, val_unseen , nav_error: 7.0934, oracle_error: 4.6006, steps: 24.0140, lengths: 9.3769, cls: 0.5155, ndtw: 0.3708, sdtw: 0.2402, success_rate: 0.3355, oracle_rate: 0.4283, spl: 0.3107, val_seen , nav_error: 7.3492, oracle_error: 5.0182, steps: 23.6180, lengths: 9.3904, cls: 0.5220, ndtw: 0.3752, sdtw: 0.2203, success_rate: 0.3095, oracle_rate: 0.3869, spl: 0.2931, train , nav_error: 6.8623, oracle_error: 4.6224, steps: 24.0977, lengths: 9.4369, cls: 0.5367, ndtw: 0.3929, sdtw: 0.2580, success_rate: 0.3527, oracle_rate: 0.4420, spl: 0.3297
iter 1324, val_unseen , nav_error: 7.2593, oracle_error: 4.8426, steps: 22.5683, lengths: 9.0111, cls: 0.5138, ndtw: 0.3769, sdtw: 0.2274, success_rate: 0.3082, oracle_rate: 0.3887, spl: 0.2858, val_seen , nav_error: 7.5327, oracle_error: 5.1971, steps: 23.6866, lengths: 9.3344, cls: 0.5129, ndtw: 0.3718, sdtw: 0.2223, success_rate: 0.3134, oracle_rate: 0.3879, spl: 0.2935, train , nav_error: 6.9184, oracle_error: 4.7769, steps: 23.5006, lengths: 9.3408, cls: 0.5318, ndtw: 0.3911, sdtw: 0.2531, success_rate: 0.3443, oracle_rate: 0.4250, spl: 0.3199
BEST RESULT TILL NOW: val_seen | Iter 460 iter 460, val_unseen , nav_error: 7.2156, oracle_error: 4.7553, steps: 22.6824, lengths: 9.2961, cls: 0.5023, ndtw: 0.3686, sdtw: 0.2318, success_rate: 0.3184, oracle_rate: 0.4023, spl: 0.2965, val_seen , nav_error: 7.6098, oracle_error: 5.1009, steps: 24.1900, lengths: 9.6226, cls: 0.5128, ndtw: 0.3724, sdtw: 0.2355, success_rate: 0.3262, oracle_rate: 0.4016, spl: 0.3062, train , nav_error: 7.1987, oracle_error: 4.8001, steps: 23.7970, lengths: 9.5249, cls: 0.5198, ndtw: 0.3785, sdtw: 0.2409, success_rate: 0.3276, oracle_rate: 0.4189, spl: 0.3065
BEST RESULT TILL NOW: val_unseen | Iter 911 iter 911, val_unseen , nav_error: 7.0934, oracle_error: 4.6006, steps: 24.0140, lengths: 9.3769, cls: 0.5155, ndtw: 0.3708, sdtw: 0.2402, success_rate: 0.3355, oracle_rate: 0.4283, spl: 0.3107, val_seen , nav_error: 7.3492, oracle_error: 5.0182, steps: 23.6180, lengths: 9.3904, cls: 0.5220, ndtw: 0.3752, sdtw: 0.2203, success_rate: 0.3095, oracle_rate: 0.3869, spl: 0.2931, train , nav_error: 6.8623, oracle_error: 4.6224, steps: 24.0977, lengths: 9.4369, cls: 0.5367, ndtw: 0.3929, sdtw: 0.2580, success_rate: 0.3527, oracle_rate: 0.4420, spl: 0.3297
iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
BEST RESULT TILL NOW: val_seen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
