iter 233, val_unseen , nav_error: 8.4431, oracle_error: 5.2758, steps: 21.5930, lengths: 9.4100, success_rate: 0.2644, oracle_rate: 0.3482, spl: 0.2415, val_seen , nav_error: 8.2317, oracle_error: 5.4162, steps: 23.5710, lengths: 9.5378, success_rate: 0.2850, oracle_rate: 0.3673, spl: 0.2689, train , nav_error: 8.3479, oracle_error: 5.3730, steps: 23.1403, lengths: 9.4766, success_rate: 0.2705, oracle_rate: 0.3598, spl: 0.2498
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 8.4431, oracle_error: 5.2758, steps: 21.5930, lengths: 9.4100, success_rate: 0.2644, oracle_rate: 0.3482, spl: 0.2415, val_seen , nav_error: 8.2317, oracle_error: 5.4162, steps: 23.5710, lengths: 9.5378, success_rate: 0.2850, oracle_rate: 0.3673, spl: 0.2689, train , nav_error: 8.3479, oracle_error: 5.3730, steps: 23.1403, lengths: 9.4766, success_rate: 0.2705, oracle_rate: 0.3598, spl: 0.2498
BEST RESULT TILL NOW: val_unseen | Iter 233 iter 233, val_unseen , nav_error: 8.4431, oracle_error: 5.2758, steps: 21.5930, lengths: 9.4100, success_rate: 0.2644, oracle_rate: 0.3482, spl: 0.2415, val_seen , nav_error: 8.2317, oracle_error: 5.4162, steps: 23.5710, lengths: 9.5378, success_rate: 0.2850, oracle_rate: 0.3673, spl: 0.2689, train , nav_error: 8.3479, oracle_error: 5.3730, steps: 23.1403, lengths: 9.4766, success_rate: 0.2705, oracle_rate: 0.3598, spl: 0.2498
iter 460, val_unseen , nav_error: 7.5898, oracle_error: 5.2673, steps: 19.8523, lengths: 8.1220, success_rate: 0.2835, oracle_rate: 0.3308, spl: 0.2708, val_seen , nav_error: 7.3823, oracle_error: 5.4410, steps: 21.2586, lengths: 8.2456, success_rate: 0.2772, oracle_rate: 0.3154, spl: 0.2694, train , nav_error: 7.4623, oracle_error: 5.3452, steps: 20.5701, lengths: 8.2459, success_rate: 0.2975, oracle_rate: 0.3494, spl: 0.2861
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 8.4431, oracle_error: 5.2758, steps: 21.5930, lengths: 9.4100, success_rate: 0.2644, oracle_rate: 0.3482, spl: 0.2415, val_seen , nav_error: 8.2317, oracle_error: 5.4162, steps: 23.5710, lengths: 9.5378, success_rate: 0.2850, oracle_rate: 0.3673, spl: 0.2689, train , nav_error: 8.3479, oracle_error: 5.3730, steps: 23.1403, lengths: 9.4766, success_rate: 0.2705, oracle_rate: 0.3598, spl: 0.2498
BEST RESULT TILL NOW: val_unseen | Iter 460 iter 460, val_unseen , nav_error: 7.5898, oracle_error: 5.2673, steps: 19.8523, lengths: 8.1220, success_rate: 0.2835, oracle_rate: 0.3308, spl: 0.2708, val_seen , nav_error: 7.3823, oracle_error: 5.4410, steps: 21.2586, lengths: 8.2456, success_rate: 0.2772, oracle_rate: 0.3154, spl: 0.2694, train , nav_error: 7.4623, oracle_error: 5.3452, steps: 20.5701, lengths: 8.2459, success_rate: 0.2975, oracle_rate: 0.3494, spl: 0.2861
iter 669, val_unseen , nav_error: 7.6001, oracle_error: 4.9102, steps: 22.7309, lengths: 8.9932, success_rate: 0.3010, oracle_rate: 0.3780, spl: 0.2792, val_seen , nav_error: 7.6346, oracle_error: 5.1833, steps: 24.0813, lengths: 9.1932, success_rate: 0.3164, oracle_rate: 0.3849, spl: 0.2981, train , nav_error: 7.3871, oracle_error: 4.9407, steps: 23.5582, lengths: 9.2469, success_rate: 0.3228, oracle_rate: 0.4084, spl: 0.3000
BEST RESULT TILL NOW: val_seen | Iter 669 iter 669, val_unseen , nav_error: 7.6001, oracle_error: 4.9102, steps: 22.7309, lengths: 8.9932, success_rate: 0.3010, oracle_rate: 0.3780, spl: 0.2792, val_seen , nav_error: 7.6346, oracle_error: 5.1833, steps: 24.0813, lengths: 9.1932, success_rate: 0.3164, oracle_rate: 0.3849, spl: 0.2981, train , nav_error: 7.3871, oracle_error: 4.9407, steps: 23.5582, lengths: 9.2469, success_rate: 0.3228, oracle_rate: 0.4084, spl: 0.3000
BEST RESULT TILL NOW: val_unseen | Iter 669 iter 669, val_unseen , nav_error: 7.6001, oracle_error: 4.9102, steps: 22.7309, lengths: 8.9932, success_rate: 0.3010, oracle_rate: 0.3780, spl: 0.2792, val_seen , nav_error: 7.6346, oracle_error: 5.1833, steps: 24.0813, lengths: 9.1932, success_rate: 0.3164, oracle_rate: 0.3849, spl: 0.2981, train , nav_error: 7.3871, oracle_error: 4.9407, steps: 23.5582, lengths: 9.2469, success_rate: 0.3228, oracle_rate: 0.4084, spl: 0.3000
iter 922, val_unseen , nav_error: 7.1913, oracle_error: 4.7506, steps: 22.5986, lengths: 8.9424, success_rate: 0.3150, oracle_rate: 0.3985, spl: 0.2947, val_seen , nav_error: 7.2462, oracle_error: 5.0040, steps: 24.0637, lengths: 9.2536, success_rate: 0.3222, oracle_rate: 0.3957, spl: 0.3061, train , nav_error: 6.9969, oracle_error: 4.7360, steps: 23.4124, lengths: 9.1825, success_rate: 0.3410, oracle_rate: 0.4245, spl: 0.3202
BEST RESULT TILL NOW: val_seen | Iter 922 iter 922, val_unseen , nav_error: 7.1913, oracle_error: 4.7506, steps: 22.5986, lengths: 8.9424, success_rate: 0.3150, oracle_rate: 0.3985, spl: 0.2947, val_seen , nav_error: 7.2462, oracle_error: 5.0040, steps: 24.0637, lengths: 9.2536, success_rate: 0.3222, oracle_rate: 0.3957, spl: 0.3061, train , nav_error: 6.9969, oracle_error: 4.7360, steps: 23.4124, lengths: 9.1825, success_rate: 0.3410, oracle_rate: 0.4245, spl: 0.3202
BEST RESULT TILL NOW: val_unseen | Iter 922 iter 922, val_unseen , nav_error: 7.1913, oracle_error: 4.7506, steps: 22.5986, lengths: 8.9424, success_rate: 0.3150, oracle_rate: 0.3985, spl: 0.2947, val_seen , nav_error: 7.2462, oracle_error: 5.0040, steps: 24.0637, lengths: 9.2536, success_rate: 0.3222, oracle_rate: 0.3957, spl: 0.3061, train , nav_error: 6.9969, oracle_error: 4.7360, steps: 23.4124, lengths: 9.1825, success_rate: 0.3410, oracle_rate: 0.4245, spl: 0.3202
iter 1149, val_unseen , nav_error: 6.9345, oracle_error: 4.8596, steps: 21.1307, lengths: 8.2780, success_rate: 0.3248, oracle_rate: 0.3755, spl: 0.3096, val_seen , nav_error: 7.0678, oracle_error: 5.1621, steps: 22.1195, lengths: 8.4853, success_rate: 0.3193, oracle_rate: 0.3643, spl: 0.3088, train , nav_error: 6.7583, oracle_error: 4.8878, steps: 21.5693, lengths: 8.4861, success_rate: 0.3445, oracle_rate: 0.3983, spl: 0.3302
BEST RESULT TILL NOW: val_seen | Iter 922 iter 922, val_unseen , nav_error: 7.1913, oracle_error: 4.7506, steps: 22.5986, lengths: 8.9424, success_rate: 0.3150, oracle_rate: 0.3985, spl: 0.2947, val_seen , nav_error: 7.2462, oracle_error: 5.0040, steps: 24.0637, lengths: 9.2536, success_rate: 0.3222, oracle_rate: 0.3957, spl: 0.3061, train , nav_error: 6.9969, oracle_error: 4.7360, steps: 23.4124, lengths: 9.1825, success_rate: 0.3410, oracle_rate: 0.4245, spl: 0.3202
BEST RESULT TILL NOW: val_unseen | Iter 1149 iter 1149, val_unseen , nav_error: 6.9345, oracle_error: 4.8596, steps: 21.1307, lengths: 8.2780, success_rate: 0.3248, oracle_rate: 0.3755, spl: 0.3096, val_seen , nav_error: 7.0678, oracle_error: 5.1621, steps: 22.1195, lengths: 8.4853, success_rate: 0.3193, oracle_rate: 0.3643, spl: 0.3088, train , nav_error: 6.7583, oracle_error: 4.8878, steps: 21.5693, lengths: 8.4861, success_rate: 0.3445, oracle_rate: 0.3983, spl: 0.3302
iter 1393, val_unseen , nav_error: 6.9686, oracle_error: 4.7266, steps: 22.7684, lengths: 8.8472, success_rate: 0.3372, oracle_rate: 0.4083, spl: 0.3172, val_seen , nav_error: 7.0066, oracle_error: 4.9452, steps: 24.1459, lengths: 9.0129, success_rate: 0.3134, oracle_rate: 0.3839, spl: 0.3008, train , nav_error: 6.7867, oracle_error: 4.7304, steps: 23.5295, lengths: 8.9432, success_rate: 0.3549, oracle_rate: 0.4213, spl: 0.3359
BEST RESULT TILL NOW: val_seen | Iter 922 iter 922, val_unseen , nav_error: 7.1913, oracle_error: 4.7506, steps: 22.5986, lengths: 8.9424, success_rate: 0.3150, oracle_rate: 0.3985, spl: 0.2947, val_seen , nav_error: 7.2462, oracle_error: 5.0040, steps: 24.0637, lengths: 9.2536, success_rate: 0.3222, oracle_rate: 0.3957, spl: 0.3061, train , nav_error: 6.9969, oracle_error: 4.7360, steps: 23.4124, lengths: 9.1825, success_rate: 0.3410, oracle_rate: 0.4245, spl: 0.3202
BEST RESULT TILL NOW: val_unseen | Iter 1393 iter 1393, val_unseen , nav_error: 6.9686, oracle_error: 4.7266, steps: 22.7684, lengths: 8.8472, success_rate: 0.3372, oracle_rate: 0.4083, spl: 0.3172, val_seen , nav_error: 7.0066, oracle_error: 4.9452, steps: 24.1459, lengths: 9.0129, success_rate: 0.3134, oracle_rate: 0.3839, spl: 0.3008, train , nav_error: 6.7867, oracle_error: 4.7304, steps: 23.5295, lengths: 8.9432, success_rate: 0.3549, oracle_rate: 0.4213, spl: 0.3359
iter 1621, val_unseen , nav_error: 6.9381, oracle_error: 4.3832, steps: 24.3465, lengths: 9.6986, success_rate: 0.3372, oracle_rate: 0.4444, spl: 0.3100, val_seen , nav_error: 7.1668, oracle_error: 4.7310, steps: 25.6552, lengths: 10.0160, success_rate: 0.3350, oracle_rate: 0.4388, spl: 0.3128, train , nav_error: 6.8930, oracle_error: 4.4501, steps: 25.0860, lengths: 9.8602, success_rate: 0.3574, oracle_rate: 0.4612, spl: 0.3304
BEST RESULT TILL NOW: val_seen | Iter 1621 iter 1621, val_unseen , nav_error: 6.9381, oracle_error: 4.3832, steps: 24.3465, lengths: 9.6986, success_rate: 0.3372, oracle_rate: 0.4444, spl: 0.3100, val_seen , nav_error: 7.1668, oracle_error: 4.7310, steps: 25.6552, lengths: 10.0160, success_rate: 0.3350, oracle_rate: 0.4388, spl: 0.3128, train , nav_error: 6.8930, oracle_error: 4.4501, steps: 25.0860, lengths: 9.8602, success_rate: 0.3574, oracle_rate: 0.4612, spl: 0.3304
BEST RESULT TILL NOW: val_unseen | Iter 1621 iter 1621, val_unseen , nav_error: 6.9381, oracle_error: 4.3832, steps: 24.3465, lengths: 9.6986, success_rate: 0.3372, oracle_rate: 0.4444, spl: 0.3100, val_seen , nav_error: 7.1668, oracle_error: 4.7310, steps: 25.6552, lengths: 10.0160, success_rate: 0.3350, oracle_rate: 0.4388, spl: 0.3128, train , nav_error: 6.8930, oracle_error: 4.4501, steps: 25.0860, lengths: 9.8602, success_rate: 0.3574, oracle_rate: 0.4612, spl: 0.3304
iter 1844, val_unseen , nav_error: 6.9160, oracle_error: 4.6325, steps: 22.3661, lengths: 8.7398, success_rate: 0.3321, oracle_rate: 0.4040, spl: 0.3130, val_seen , nav_error: 7.0173, oracle_error: 4.8693, steps: 23.2341, lengths: 9.0443, success_rate: 0.3379, oracle_rate: 0.4074, spl: 0.3249, train , nav_error: 6.5373, oracle_error: 4.5232, steps: 23.0665, lengths: 9.0314, success_rate: 0.3737, oracle_rate: 0.4473, spl: 0.3546
BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 6.9160, oracle_error: 4.6325, steps: 22.3661, lengths: 8.7398, success_rate: 0.3321, oracle_rate: 0.4040, spl: 0.3130, val_seen , nav_error: 7.0173, oracle_error: 4.8693, steps: 23.2341, lengths: 9.0443, success_rate: 0.3379, oracle_rate: 0.4074, spl: 0.3249, train , nav_error: 6.5373, oracle_error: 4.5232, steps: 23.0665, lengths: 9.0314, success_rate: 0.3737, oracle_rate: 0.4473, spl: 0.3546
