iter 159320, train , nav_error: 0.6238, oracle_error: 0.4987, steps: 26.1836, lengths: 10.2292, success_rate: 0.9481, oracle_rate: 0.9607, spl: 0.9284, val_seen , nav_error: 3.9766, oracle_error: 2.5581, steps: 36.4995, lengths: 13.8445, success_rate: 0.6239, oracle_rate: 0.7032, spl: 0.5823, val_unseen , nav_error: 4.7676, oracle_error: 2.9751, steps: 42.9706, lengths: 15.6634, success_rate: 0.5585, oracle_rate: 0.6467, spl: 0.4974
BEST RESULT TILL NOW: val_seen | Iter 159320 iter 159320, train , nav_error: 0.6238, oracle_error: 0.4987, steps: 26.1836, lengths: 10.2292, success_rate: 0.9481, oracle_rate: 0.9607, spl: 0.9284, val_seen , nav_error: 3.9766, oracle_error: 2.5581, steps: 36.4995, lengths: 13.8445, success_rate: 0.6239, oracle_rate: 0.7032, spl: 0.5823, val_unseen , nav_error: 4.7676, oracle_error: 2.9751, steps: 42.9706, lengths: 15.6634, success_rate: 0.5585, oracle_rate: 0.6467, spl: 0.4974
BEST RESULT TILL NOW: val_unseen | Iter 159320 iter 159320, train , nav_error: 0.6238, oracle_error: 0.4987, steps: 26.1836, lengths: 10.2292, success_rate: 0.9481, oracle_rate: 0.9607, spl: 0.9284, val_seen , nav_error: 3.9766, oracle_error: 2.5581, steps: 36.4995, lengths: 13.8445, success_rate: 0.6239, oracle_rate: 0.7032, spl: 0.5823, val_unseen , nav_error: 4.7676, oracle_error: 2.9751, steps: 42.9706, lengths: 15.6634, success_rate: 0.5585, oracle_rate: 0.6467, spl: 0.4974
iter 159520, train , nav_error: 0.7664, oracle_error: 0.6043, steps: 26.3941, lengths: 10.2787, success_rate: 0.9342, oracle_rate: 0.9490, spl: 0.9128, val_seen , nav_error: 3.9666, oracle_error: 2.6446, steps: 34.4936, lengths: 13.1319, success_rate: 0.6288, oracle_rate: 0.6993, spl: 0.5894, val_unseen , nav_error: 5.0023, oracle_error: 3.2077, steps: 43.2746, lengths: 15.8651, success_rate: 0.5385, oracle_rate: 0.6152, spl: 0.4830
BEST RESULT TILL NOW: val_seen | Iter 159520 iter 159520, train , nav_error: 0.7664, oracle_error: 0.6043, steps: 26.3941, lengths: 10.2787, success_rate: 0.9342, oracle_rate: 0.9490, spl: 0.9128, val_seen , nav_error: 3.9666, oracle_error: 2.6446, steps: 34.4936, lengths: 13.1319, success_rate: 0.6288, oracle_rate: 0.6993, spl: 0.5894, val_unseen , nav_error: 5.0023, oracle_error: 3.2077, steps: 43.2746, lengths: 15.8651, success_rate: 0.5385, oracle_rate: 0.6152, spl: 0.4830
BEST RESULT TILL NOW: val_unseen | Iter 159520 iter 159520, train , nav_error: 0.7664, oracle_error: 0.6043, steps: 26.3941, lengths: 10.2787, success_rate: 0.9342, oracle_rate: 0.9490, spl: 0.9128, val_seen , nav_error: 3.9666, oracle_error: 2.6446, steps: 34.4936, lengths: 13.1319, success_rate: 0.6288, oracle_rate: 0.6993, spl: 0.5894, val_unseen , nav_error: 5.0023, oracle_error: 3.2077, steps: 43.2746, lengths: 15.8651, success_rate: 0.5385, oracle_rate: 0.6152, spl: 0.4830
iter 159754, train , nav_error: 0.7816, oracle_error: 0.6024, steps: 26.6399, lengths: 10.3484, success_rate: 0.9311, oracle_rate: 0.9471, spl: 0.9088, val_seen , nav_error: 4.0620, oracle_error: 2.7015, steps: 34.6112, lengths: 13.1625, success_rate: 0.6112, oracle_rate: 0.6895, spl: 0.5725, val_unseen , nav_error: 4.9304, oracle_error: 3.1703, steps: 42.9800, lengths: 15.6085, success_rate: 0.5368, oracle_rate: 0.6194, spl: 0.4807
BEST RESULT TILL NOW: val_seen | Iter 159520 iter 159520, train , nav_error: 0.7664, oracle_error: 0.6043, steps: 26.3941, lengths: 10.2787, success_rate: 0.9342, oracle_rate: 0.9490, spl: 0.9128, val_seen , nav_error: 3.9666, oracle_error: 2.6446, steps: 34.4936, lengths: 13.1319, success_rate: 0.6288, oracle_rate: 0.6993, spl: 0.5894, val_unseen , nav_error: 5.0023, oracle_error: 3.2077, steps: 43.2746, lengths: 15.8651, success_rate: 0.5385, oracle_rate: 0.6152, spl: 0.4830
BEST RESULT TILL NOW: val_unseen | Iter 159754 iter 159754, train , nav_error: 0.7816, oracle_error: 0.6024, steps: 26.6399, lengths: 10.3484, success_rate: 0.9311, oracle_rate: 0.9471, spl: 0.9088, val_seen , nav_error: 4.0620, oracle_error: 2.7015, steps: 34.6112, lengths: 13.1625, success_rate: 0.6112, oracle_rate: 0.6895, spl: 0.5725, val_unseen , nav_error: 4.9304, oracle_error: 3.1703, steps: 42.9800, lengths: 15.6085, success_rate: 0.5368, oracle_rate: 0.6194, spl: 0.4807
iter 159922, train , nav_error: 0.6917, oracle_error: 0.5589, steps: 26.1308, lengths: 10.1863, success_rate: 0.9422, oracle_rate: 0.9542, spl: 0.9224, val_seen , nav_error: 3.9596, oracle_error: 2.5944, steps: 34.5152, lengths: 13.2312, success_rate: 0.6180, oracle_rate: 0.6974, spl: 0.5805, val_unseen , nav_error: 4.7386, oracle_error: 2.9827, steps: 40.4789, lengths: 14.9028, success_rate: 0.5611, oracle_rate: 0.6484, spl: 0.5033
BEST RESULT TILL NOW: val_seen | Iter 159520 iter 159520, train , nav_error: 0.7664, oracle_error: 0.6043, steps: 26.3941, lengths: 10.2787, success_rate: 0.9342, oracle_rate: 0.9490, spl: 0.9128, val_seen , nav_error: 3.9666, oracle_error: 2.6446, steps: 34.4936, lengths: 13.1319, success_rate: 0.6288, oracle_rate: 0.6993, spl: 0.5894, val_unseen , nav_error: 5.0023, oracle_error: 3.2077, steps: 43.2746, lengths: 15.8651, success_rate: 0.5385, oracle_rate: 0.6152, spl: 0.4830
BEST RESULT TILL NOW: val_unseen | Iter 159922 iter 159922, train , nav_error: 0.6917, oracle_error: 0.5589, steps: 26.1308, lengths: 10.1863, success_rate: 0.9422, oracle_rate: 0.9542, spl: 0.9224, val_seen , nav_error: 3.9596, oracle_error: 2.5944, steps: 34.5152, lengths: 13.2312, success_rate: 0.6180, oracle_rate: 0.6974, spl: 0.5805, val_unseen , nav_error: 4.7386, oracle_error: 2.9827, steps: 40.4789, lengths: 14.9028, success_rate: 0.5611, oracle_rate: 0.6484, spl: 0.5033
