iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
iter 159604, train , nav_error: 0.9373, oracle_error: 0.6902, steps: 27.7118, lengths: 10.6965, cls: 0.8864, ndtw: 0.8226, sdtw: 0.7963, success_rate: 0.9160, oracle_rate: 0.9384, spl: 0.8882, val_seen , nav_error: 4.1391, oracle_error: 2.7191, steps: 36.3595, lengths: 13.5528, cls: 0.6685, ndtw: 0.5537, sdtw: 0.4612, success_rate: 0.6112, oracle_rate: 0.6925, spl: 0.5689, val_unseen , nav_error: 4.7190, oracle_error: 2.9989, steps: 44.2920, lengths: 15.9118, cls: 0.5928, ndtw: 0.4710, sdtw: 0.3804, success_rate: 0.5487, oracle_rate: 0.6479, spl: 0.4885
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 159604 iter 159604, train , nav_error: 0.9373, oracle_error: 0.6902, steps: 27.7118, lengths: 10.6965, cls: 0.8864, ndtw: 0.8226, sdtw: 0.7963, success_rate: 0.9160, oracle_rate: 0.9384, spl: 0.8882, val_seen , nav_error: 4.1391, oracle_error: 2.7191, steps: 36.3595, lengths: 13.5528, cls: 0.6685, ndtw: 0.5537, sdtw: 0.4612, success_rate: 0.6112, oracle_rate: 0.6925, spl: 0.5689, val_unseen , nav_error: 4.7190, oracle_error: 2.9989, steps: 44.2920, lengths: 15.9118, cls: 0.5928, ndtw: 0.4710, sdtw: 0.3804, success_rate: 0.5487, oracle_rate: 0.6479, spl: 0.4885
iter 159699, train , nav_error: 1.0136, oracle_error: 0.7702, steps: 27.1638, lengths: 10.5204, cls: 0.8823, ndtw: 0.8177, sdtw: 0.7889, success_rate: 0.9091, oracle_rate: 0.9295, spl: 0.8830, val_seen , nav_error: 3.9992, oracle_error: 2.7249, steps: 33.6239, lengths: 12.8364, cls: 0.6788, ndtw: 0.5679, sdtw: 0.4712, success_rate: 0.6141, oracle_rate: 0.6807, spl: 0.5756, val_unseen , nav_error: 4.6744, oracle_error: 3.0378, steps: 39.0311, lengths: 14.2212, cls: 0.6077, ndtw: 0.4888, sdtw: 0.3934, success_rate: 0.5568, oracle_rate: 0.6441, spl: 0.5032
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 159699 iter 159699, train , nav_error: 1.0136, oracle_error: 0.7702, steps: 27.1638, lengths: 10.5204, cls: 0.8823, ndtw: 0.8177, sdtw: 0.7889, success_rate: 0.9091, oracle_rate: 0.9295, spl: 0.8830, val_seen , nav_error: 3.9992, oracle_error: 2.7249, steps: 33.6239, lengths: 12.8364, cls: 0.6788, ndtw: 0.5679, sdtw: 0.4712, success_rate: 0.6141, oracle_rate: 0.6807, spl: 0.5756, val_unseen , nav_error: 4.6744, oracle_error: 3.0378, steps: 39.0311, lengths: 14.2212, cls: 0.6077, ndtw: 0.4888, sdtw: 0.3934, success_rate: 0.5568, oracle_rate: 0.6441, spl: 0.5032
iter 159854, train , nav_error: 0.9463, oracle_error: 0.7283, steps: 27.3037, lengths: 10.5865, cls: 0.8869, ndtw: 0.8239, sdtw: 0.7972, success_rate: 0.9178, oracle_rate: 0.9365, spl: 0.8922, val_seen , nav_error: 4.0079, oracle_error: 2.7147, steps: 36.6729, lengths: 13.4639, cls: 0.6761, ndtw: 0.5677, sdtw: 0.4697, success_rate: 0.6151, oracle_rate: 0.6817, spl: 0.5770, val_unseen , nav_error: 4.4490, oracle_error: 2.8660, steps: 40.9630, lengths: 14.9794, cls: 0.6152, ndtw: 0.4992, sdtw: 0.4055, success_rate: 0.5739, oracle_rate: 0.6645, spl: 0.5160
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 159854 iter 159854, train , nav_error: 0.9463, oracle_error: 0.7283, steps: 27.3037, lengths: 10.5865, cls: 0.8869, ndtw: 0.8239, sdtw: 0.7972, success_rate: 0.9178, oracle_rate: 0.9365, spl: 0.8922, val_seen , nav_error: 4.0079, oracle_error: 2.7147, steps: 36.6729, lengths: 13.4639, cls: 0.6761, ndtw: 0.5677, sdtw: 0.4697, success_rate: 0.6151, oracle_rate: 0.6817, spl: 0.5770, val_unseen , nav_error: 4.4490, oracle_error: 2.8660, steps: 40.9630, lengths: 14.9794, cls: 0.6152, ndtw: 0.4992, sdtw: 0.4055, success_rate: 0.5739, oracle_rate: 0.6645, spl: 0.5160
iter 159956, train , nav_error: 0.9637, oracle_error: 0.7363, steps: 27.4677, lengths: 10.5700, cls: 0.8853, ndtw: 0.8217, sdtw: 0.7939, success_rate: 0.9151, oracle_rate: 0.9331, spl: 0.8886, val_seen , nav_error: 3.9425, oracle_error: 2.7012, steps: 35.6641, lengths: 13.1342, cls: 0.6782, ndtw: 0.5660, sdtw: 0.4705, success_rate: 0.6180, oracle_rate: 0.6915, spl: 0.5789, val_unseen , nav_error: 4.3965, oracle_error: 2.8107, steps: 39.4789, lengths: 14.3364, cls: 0.6196, ndtw: 0.5005, sdtw: 0.4064, success_rate: 0.5739, oracle_rate: 0.6701, spl: 0.5186
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 159956 iter 159956, train , nav_error: 0.9637, oracle_error: 0.7363, steps: 27.4677, lengths: 10.5700, cls: 0.8853, ndtw: 0.8217, sdtw: 0.7939, success_rate: 0.9151, oracle_rate: 0.9331, spl: 0.8886, val_seen , nav_error: 3.9425, oracle_error: 2.7012, steps: 35.6641, lengths: 13.1342, cls: 0.6782, ndtw: 0.5660, sdtw: 0.4705, success_rate: 0.6180, oracle_rate: 0.6915, spl: 0.5789, val_unseen , nav_error: 4.3965, oracle_error: 2.8107, steps: 39.4789, lengths: 14.3364, cls: 0.6196, ndtw: 0.5005, sdtw: 0.4064, success_rate: 0.5739, oracle_rate: 0.6701, spl: 0.5186
iter 160075, train , nav_error: 0.9854, oracle_error: 0.7470, steps: 27.5704, lengths: 10.6346, cls: 0.8826, ndtw: 0.8165, sdtw: 0.7889, success_rate: 0.9145, oracle_rate: 0.9333, spl: 0.8865, val_seen , nav_error: 3.9596, oracle_error: 2.6655, steps: 36.0069, lengths: 13.4416, cls: 0.6719, ndtw: 0.5594, sdtw: 0.4656, success_rate: 0.6141, oracle_rate: 0.6895, spl: 0.5726, val_unseen , nav_error: 4.3835, oracle_error: 2.8056, steps: 39.7275, lengths: 14.5671, cls: 0.6187, ndtw: 0.4991, sdtw: 0.4128, success_rate: 0.5815, oracle_rate: 0.6752, spl: 0.5269
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
