iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
BEST RESULT TILL NOW: val_unseen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
iter 159796, train , nav_error: 0.7345, oracle_error: 0.5713, steps: 26.8969, lengths: 10.4383, success_rate: 0.9358, oracle_rate: 0.9521, spl: 0.9125, val_seen , nav_error: 3.9769, oracle_error: 2.6215, steps: 37.4701, lengths: 13.9121, success_rate: 0.6239, oracle_rate: 0.7032, spl: 0.5819, val_unseen , nav_error: 4.7924, oracle_error: 3.0045, steps: 45.1017, lengths: 16.2540, success_rate: 0.5496, oracle_rate: 0.6424, spl: 0.4924
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
BEST RESULT TILL NOW: val_unseen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
iter 160095, train , nav_error: 0.8252, oracle_error: 0.6518, steps: 27.1739, lengths: 10.4790, success_rate: 0.9249, oracle_rate: 0.9416, spl: 0.9015, val_seen , nav_error: 4.0107, oracle_error: 2.7247, steps: 38.0157, lengths: 14.0381, success_rate: 0.6072, oracle_rate: 0.6846, spl: 0.5708, val_unseen , nav_error: 4.6730, oracle_error: 3.0025, steps: 44.4542, lengths: 15.6442, success_rate: 0.5517, oracle_rate: 0.6454, spl: 0.4966
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
BEST RESULT TILL NOW: val_unseen | Iter 160095 iter 160095, train , nav_error: 0.8252, oracle_error: 0.6518, steps: 27.1739, lengths: 10.4790, success_rate: 0.9249, oracle_rate: 0.9416, spl: 0.9015, val_seen , nav_error: 4.0107, oracle_error: 2.7247, steps: 38.0157, lengths: 14.0381, success_rate: 0.6072, oracle_rate: 0.6846, spl: 0.5708, val_unseen , nav_error: 4.6730, oracle_error: 3.0025, steps: 44.4542, lengths: 15.6442, success_rate: 0.5517, oracle_rate: 0.6454, spl: 0.4966
iter 160394, train , nav_error: 0.8457, oracle_error: 0.6338, steps: 27.5906, lengths: 10.6413, success_rate: 0.9241, oracle_rate: 0.9445, spl: 0.8984, val_seen , nav_error: 4.0672, oracle_error: 2.6765, steps: 38.8991, lengths: 14.4936, success_rate: 0.6161, oracle_rate: 0.6993, spl: 0.5760, val_unseen , nav_error: 4.6425, oracle_error: 2.9319, steps: 44.9268, lengths: 15.9405, success_rate: 0.5504, oracle_rate: 0.6501, spl: 0.4903
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.7029, oracle_error: 0.5432, steps: 26.6565, lengths: 10.3526, success_rate: 0.9397, oracle_rate: 0.9551, spl: 0.9173, val_seen , nav_error: 4.0752, oracle_error: 2.6620, steps: 35.9344, lengths: 13.8074, success_rate: 0.6151, oracle_rate: 0.6944, spl: 0.5760, val_unseen , nav_error: 4.6840, oracle_error: 2.9149, steps: 43.3159, lengths: 15.9307, success_rate: 0.5568, oracle_rate: 0.6552, spl: 0.4963
