iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
BEST RESULT TILL NOW: val_seen | Iter 159545 iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
BEST RESULT TILL NOW: val_unseen | Iter 159545 iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
iter 159897, train , nav_error: 0.7026, oracle_error: 0.5470, steps: 26.4564, lengths: 10.2895, success_rate: 0.9408, oracle_rate: 0.9555, spl: 0.9194, val_seen , nav_error: 3.9965, oracle_error: 2.6424, steps: 35.7179, lengths: 13.4495, success_rate: 0.6190, oracle_rate: 0.6964, spl: 0.5809, val_unseen , nav_error: 4.8552, oracle_error: 3.0681, steps: 42.7927, lengths: 15.6188, success_rate: 0.5419, oracle_rate: 0.6309, spl: 0.4844
BEST RESULT TILL NOW: val_seen | Iter 159545 iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
BEST RESULT TILL NOW: val_unseen | Iter 159897 iter 159897, train , nav_error: 0.7026, oracle_error: 0.5470, steps: 26.4564, lengths: 10.2895, success_rate: 0.9408, oracle_rate: 0.9555, spl: 0.9194, val_seen , nav_error: 3.9965, oracle_error: 2.6424, steps: 35.7179, lengths: 13.4495, success_rate: 0.6190, oracle_rate: 0.6964, spl: 0.5809, val_unseen , nav_error: 4.8552, oracle_error: 3.0681, steps: 42.7927, lengths: 15.6188, success_rate: 0.5419, oracle_rate: 0.6309, spl: 0.4844
iter 160237, train , nav_error: 0.6919, oracle_error: 0.5462, steps: 26.4735, lengths: 10.3015, success_rate: 0.9410, oracle_rate: 0.9553, spl: 0.9197, val_seen , nav_error: 4.0748, oracle_error: 2.6835, steps: 35.0686, lengths: 13.1716, success_rate: 0.6180, oracle_rate: 0.6925, spl: 0.5815, val_unseen , nav_error: 4.9342, oracle_error: 3.1521, steps: 44.3682, lengths: 15.8433, success_rate: 0.5368, oracle_rate: 0.6241, spl: 0.4825
BEST RESULT TILL NOW: val_seen | Iter 159545 iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
BEST RESULT TILL NOW: val_unseen | Iter 160237 iter 160237, train , nav_error: 0.6919, oracle_error: 0.5462, steps: 26.4735, lengths: 10.3015, success_rate: 0.9410, oracle_rate: 0.9553, spl: 0.9197, val_seen , nav_error: 4.0748, oracle_error: 2.6835, steps: 35.0686, lengths: 13.1716, success_rate: 0.6180, oracle_rate: 0.6925, spl: 0.5815, val_unseen , nav_error: 4.9342, oracle_error: 3.1521, steps: 44.3682, lengths: 15.8433, success_rate: 0.5368, oracle_rate: 0.6241, spl: 0.4825
iter 160585, train , nav_error: 0.7209, oracle_error: 0.5709, steps: 26.5510, lengths: 10.3066, success_rate: 0.9375, oracle_rate: 0.9525, spl: 0.9162, val_seen , nav_error: 4.0178, oracle_error: 2.6867, steps: 35.5406, lengths: 13.4491, success_rate: 0.6190, oracle_rate: 0.6915, spl: 0.5775, val_unseen , nav_error: 4.8544, oracle_error: 3.1081, steps: 44.5470, lengths: 16.1482, success_rate: 0.5368, oracle_rate: 0.6292, spl: 0.4799
BEST RESULT TILL NOW: val_seen | Iter 159545 iter 159545, train , nav_error: 0.6484, oracle_error: 0.5136, steps: 26.4169, lengths: 10.2760, success_rate: 0.9462, oracle_rate: 0.9597, spl: 0.9258, val_seen , nav_error: 3.9015, oracle_error: 2.5570, steps: 36.2547, lengths: 13.6803, success_rate: 0.6308, oracle_rate: 0.7071, spl: 0.5888, val_unseen , nav_error: 4.8314, oracle_error: 3.0344, steps: 45.1405, lengths: 16.3653, success_rate: 0.5462, oracle_rate: 0.6356, spl: 0.4887
