iter 159340, train , nav_error: 0.6104, oracle_error: 0.4885, steps: 26.1314, lengths: 10.1910, success_rate: 0.9489, oracle_rate: 0.9617, spl: 0.9298, val_seen , nav_error: 3.9797, oracle_error: 2.5767, steps: 35.8071, lengths: 13.5580, success_rate: 0.6288, oracle_rate: 0.7042, spl: 0.5897, val_unseen , nav_error: 4.7718, oracle_error: 2.9787, steps: 43.7356, lengths: 15.9027, success_rate: 0.5517, oracle_rate: 0.6496, spl: 0.4903
BEST RESULT TILL NOW: val_seen | Iter 159340 iter 159340, train , nav_error: 0.6104, oracle_error: 0.4885, steps: 26.1314, lengths: 10.1910, success_rate: 0.9489, oracle_rate: 0.9617, spl: 0.9298, val_seen , nav_error: 3.9797, oracle_error: 2.5767, steps: 35.8071, lengths: 13.5580, success_rate: 0.6288, oracle_rate: 0.7042, spl: 0.5897, val_unseen , nav_error: 4.7718, oracle_error: 2.9787, steps: 43.7356, lengths: 15.9027, success_rate: 0.5517, oracle_rate: 0.6496, spl: 0.4903
BEST RESULT TILL NOW: val_unseen | Iter 159340 iter 159340, train , nav_error: 0.6104, oracle_error: 0.4885, steps: 26.1314, lengths: 10.1910, success_rate: 0.9489, oracle_rate: 0.9617, spl: 0.9298, val_seen , nav_error: 3.9797, oracle_error: 2.5767, steps: 35.8071, lengths: 13.5580, success_rate: 0.6288, oracle_rate: 0.7042, spl: 0.5897, val_unseen , nav_error: 4.7718, oracle_error: 2.9787, steps: 43.7356, lengths: 15.9027, success_rate: 0.5517, oracle_rate: 0.6496, spl: 0.4903
iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_seen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_unseen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
iter 159854, train , nav_error: 0.6867, oracle_error: 0.5527, steps: 26.0389, lengths: 10.1526, success_rate: 0.9422, oracle_rate: 0.9550, spl: 0.9219, val_seen , nav_error: 3.9893, oracle_error: 2.6479, steps: 33.4368, lengths: 12.8531, success_rate: 0.6200, oracle_rate: 0.6934, spl: 0.5841, val_unseen , nav_error: 4.7271, oracle_error: 3.0224, steps: 40.0017, lengths: 14.5941, success_rate: 0.5577, oracle_rate: 0.6437, spl: 0.5031
BEST RESULT TILL NOW: val_seen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_unseen | Iter 159854 iter 159854, train , nav_error: 0.6867, oracle_error: 0.5527, steps: 26.0389, lengths: 10.1526, success_rate: 0.9422, oracle_rate: 0.9550, spl: 0.9219, val_seen , nav_error: 3.9893, oracle_error: 2.6479, steps: 33.4368, lengths: 12.8531, success_rate: 0.6200, oracle_rate: 0.6934, spl: 0.5841, val_unseen , nav_error: 4.7271, oracle_error: 3.0224, steps: 40.0017, lengths: 14.5941, success_rate: 0.5577, oracle_rate: 0.6437, spl: 0.5031
iter 160037, train , nav_error: 0.6762, oracle_error: 0.5449, steps: 26.2242, lengths: 10.2098, success_rate: 0.9426, oracle_rate: 0.9556, spl: 0.9230, val_seen , nav_error: 4.0183, oracle_error: 2.6135, steps: 34.6268, lengths: 13.2449, success_rate: 0.6268, oracle_rate: 0.7013, spl: 0.5894, val_unseen , nav_error: 4.6554, oracle_error: 2.9229, steps: 43.0268, lengths: 15.6305, success_rate: 0.5602, oracle_rate: 0.6539, spl: 0.5052
BEST RESULT TILL NOW: val_seen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_unseen | Iter 160037 iter 160037, train , nav_error: 0.6762, oracle_error: 0.5449, steps: 26.2242, lengths: 10.2098, success_rate: 0.9426, oracle_rate: 0.9556, spl: 0.9230, val_seen , nav_error: 4.0183, oracle_error: 2.6135, steps: 34.6268, lengths: 13.2449, success_rate: 0.6268, oracle_rate: 0.7013, spl: 0.5894, val_unseen , nav_error: 4.6554, oracle_error: 2.9229, steps: 43.0268, lengths: 15.6305, success_rate: 0.5602, oracle_rate: 0.6539, spl: 0.5052
iter 160310, train , nav_error: 0.6984, oracle_error: 0.5479, steps: 26.3846, lengths: 10.2887, success_rate: 0.9414, oracle_rate: 0.9558, spl: 0.9191, val_seen , nav_error: 3.9612, oracle_error: 2.6159, steps: 34.4094, lengths: 13.1053, success_rate: 0.6229, oracle_rate: 0.6964, spl: 0.5821, val_unseen , nav_error: 4.7504, oracle_error: 3.0047, steps: 40.6220, lengths: 15.0020, success_rate: 0.5521, oracle_rate: 0.6437, spl: 0.4958
BEST RESULT TILL NOW: val_seen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_unseen | Iter 160310 iter 160310, train , nav_error: 0.6984, oracle_error: 0.5479, steps: 26.3846, lengths: 10.2887, success_rate: 0.9414, oracle_rate: 0.9558, spl: 0.9191, val_seen , nav_error: 3.9612, oracle_error: 2.6159, steps: 34.4094, lengths: 13.1053, success_rate: 0.6229, oracle_rate: 0.6964, spl: 0.5821, val_unseen , nav_error: 4.7504, oracle_error: 3.0047, steps: 40.6220, lengths: 15.0020, success_rate: 0.5521, oracle_rate: 0.6437, spl: 0.4958
iter 160485, train , nav_error: 0.6688, oracle_error: 0.5164, steps: 26.3423, lengths: 10.2435, success_rate: 0.9427, oracle_rate: 0.9574, spl: 0.9216, val_seen , nav_error: 4.0701, oracle_error: 2.6085, steps: 35.0392, lengths: 13.2667, success_rate: 0.6200, oracle_rate: 0.7003, spl: 0.5799, val_unseen , nav_error: 4.5807, oracle_error: 2.8677, steps: 40.7612, lengths: 14.8270, success_rate: 0.5632, oracle_rate: 0.6662, spl: 0.5069
BEST RESULT TILL NOW: val_seen | Iter 159621 iter 159621, train , nav_error: 0.6490, oracle_error: 0.4812, steps: 26.5716, lengths: 10.3468, success_rate: 0.9460, oracle_rate: 0.9625, spl: 0.9232, val_seen , nav_error: 3.9302, oracle_error: 2.4660, steps: 38.0960, lengths: 14.4522, success_rate: 0.6327, oracle_rate: 0.7169, spl: 0.5873, val_unseen , nav_error: 4.7287, oracle_error: 2.8711, steps: 46.4943, lengths: 17.0251, success_rate: 0.5551, oracle_rate: 0.6641, spl: 0.4949
BEST RESULT TILL NOW: val_unseen | Iter 160485 iter 160485, train , nav_error: 0.6688, oracle_error: 0.5164, steps: 26.3423, lengths: 10.2435, success_rate: 0.9427, oracle_rate: 0.9574, spl: 0.9216, val_seen , nav_error: 4.0701, oracle_error: 2.6085, steps: 35.0392, lengths: 13.2667, success_rate: 0.6200, oracle_rate: 0.7003, spl: 0.5799, val_unseen , nav_error: 4.5807, oracle_error: 2.8677, steps: 40.7612, lengths: 14.8270, success_rate: 0.5632, oracle_rate: 0.6662, spl: 0.5069
iter 160722, train , nav_error: 0.7506, oracle_error: 0.5789, steps: 26.6088, lengths: 10.3562, success_rate: 0.9342, oracle_rate: 0.9502, spl: 0.9112, val_seen , nav_error: 3.9315, oracle_error: 2.6151, steps: 34.7042, lengths: 13.1741, success_rate: 0.6249, oracle_rate: 0.6993, spl: 0.5828, val_unseen , nav_error: 4.8753, oracle_error: 3.1128, steps: 41.8825, lengths: 15.1788, success_rate: 0.5390, oracle_rate: 0.6284, spl: 0.4822
