iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
BEST RESULT TILL NOW: val_unseen | Iter 159497 iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
iter 159796, train , nav_error: 0.7055, oracle_error: 0.5372, steps: 26.7280, lengths: 10.3949, success_rate: 0.9377, oracle_rate: 0.9547, spl: 0.9155, val_seen , nav_error: 4.1149, oracle_error: 2.6617, steps: 35.7023, lengths: 13.6632, success_rate: 0.6219, oracle_rate: 0.6983, spl: 0.5831, val_unseen , nav_error: 4.9149, oracle_error: 3.0726, steps: 44.9668, lengths: 16.4108, success_rate: 0.5415, oracle_rate: 0.6343, spl: 0.4838
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
BEST RESULT TILL NOW: val_unseen | Iter 159796 iter 159796, train , nav_error: 0.7055, oracle_error: 0.5372, steps: 26.7280, lengths: 10.3949, success_rate: 0.9377, oracle_rate: 0.9547, spl: 0.9155, val_seen , nav_error: 4.1149, oracle_error: 2.6617, steps: 35.7023, lengths: 13.6632, success_rate: 0.6219, oracle_rate: 0.6983, spl: 0.5831, val_unseen , nav_error: 4.9149, oracle_error: 3.0726, steps: 44.9668, lengths: 16.4108, success_rate: 0.5415, oracle_rate: 0.6343, spl: 0.4838
iter 160095, train , nav_error: 0.7396, oracle_error: 0.5636, steps: 26.8082, lengths: 10.4191, success_rate: 0.9360, oracle_rate: 0.9533, spl: 0.9127, val_seen , nav_error: 4.1778, oracle_error: 2.7417, steps: 37.0069, lengths: 13.5668, success_rate: 0.6092, oracle_rate: 0.6827, spl: 0.5703, val_unseen , nav_error: 4.9243, oracle_error: 3.0855, steps: 43.3627, lengths: 15.7452, success_rate: 0.5364, oracle_rate: 0.6309, spl: 0.4812
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
BEST RESULT TILL NOW: val_unseen | Iter 160095 iter 160095, train , nav_error: 0.7396, oracle_error: 0.5636, steps: 26.8082, lengths: 10.4191, success_rate: 0.9360, oracle_rate: 0.9533, spl: 0.9127, val_seen , nav_error: 4.1778, oracle_error: 2.7417, steps: 37.0069, lengths: 13.5668, success_rate: 0.6092, oracle_rate: 0.6827, spl: 0.5703, val_unseen , nav_error: 4.9243, oracle_error: 3.0855, steps: 43.3627, lengths: 15.7452, success_rate: 0.5364, oracle_rate: 0.6309, spl: 0.4812
iter 160394, train , nav_error: 0.7495, oracle_error: 0.5711, steps: 26.9773, lengths: 10.4643, success_rate: 0.9351, oracle_rate: 0.9528, spl: 0.9117, val_seen , nav_error: 4.0803, oracle_error: 2.6882, steps: 36.1499, lengths: 13.4923, success_rate: 0.6200, oracle_rate: 0.6964, spl: 0.5783, val_unseen , nav_error: 4.9088, oracle_error: 3.0859, steps: 43.7829, lengths: 15.9209, success_rate: 0.5411, oracle_rate: 0.6326, spl: 0.4859
BEST RESULT TILL NOW: val_seen | Iter 159497 iter 159497, train , nav_error: 0.6705, oracle_error: 0.5159, steps: 26.5352, lengths: 10.3336, success_rate: 0.9434, oracle_rate: 0.9588, spl: 0.9221, val_seen , nav_error: 4.0840, oracle_error: 2.6425, steps: 37.5544, lengths: 14.3058, success_rate: 0.6259, oracle_rate: 0.6993, spl: 0.5843, val_unseen , nav_error: 4.7842, oracle_error: 2.9769, steps: 44.5283, lengths: 16.2717, success_rate: 0.5539, oracle_rate: 0.6467, spl: 0.4922
BEST RESULT TILL NOW: val_unseen | Iter 160394 iter 160394, train , nav_error: 0.7495, oracle_error: 0.5711, steps: 26.9773, lengths: 10.4643, success_rate: 0.9351, oracle_rate: 0.9528, spl: 0.9117, val_seen , nav_error: 4.0803, oracle_error: 2.6882, steps: 36.1499, lengths: 13.4923, success_rate: 0.6200, oracle_rate: 0.6964, spl: 0.5783, val_unseen , nav_error: 4.9088, oracle_error: 3.0859, steps: 43.7829, lengths: 15.9209, success_rate: 0.5411, oracle_rate: 0.6326, spl: 0.4859
iter 160693, train , nav_error: 0.7869, oracle_error: 0.6172, steps: 26.7664, lengths: 10.3731, success_rate: 0.9306, oracle_rate: 0.9467, spl: 0.9078, val_seen , nav_error: 4.1739, oracle_error: 2.7762, steps: 35.8355, lengths: 13.3770, success_rate: 0.6112, oracle_rate: 0.6846, spl: 0.5746, val_unseen , nav_error: 4.8711, oracle_error: 3.1241, steps: 43.1575, lengths: 15.6756, success_rate: 0.5428, oracle_rate: 0.6284, spl: 0.4870
