iter 159550, train , nav_error: 0.6694, oracle_error: 0.5236, steps: 26.1935, lengths: 10.2293, success_rate: 0.9429, oracle_rate: 0.9575, spl: 0.9223, val_seen , nav_error: 3.9667, oracle_error: 2.5937, steps: 35.1371, lengths: 13.5683, success_rate: 0.6259, oracle_rate: 0.7042, spl: 0.5869, val_unseen , nav_error: 4.9527, oracle_error: 3.0734, steps: 41.6492, lengths: 15.4474, success_rate: 0.5407, oracle_rate: 0.6326, spl: 0.4842
BEST RESULT TILL NOW: val_seen | Iter 159550 iter 159550, train , nav_error: 0.6694, oracle_error: 0.5236, steps: 26.1935, lengths: 10.2293, success_rate: 0.9429, oracle_rate: 0.9575, spl: 0.9223, val_seen , nav_error: 3.9667, oracle_error: 2.5937, steps: 35.1371, lengths: 13.5683, success_rate: 0.6259, oracle_rate: 0.7042, spl: 0.5869, val_unseen , nav_error: 4.9527, oracle_error: 3.0734, steps: 41.6492, lengths: 15.4474, success_rate: 0.5407, oracle_rate: 0.6326, spl: 0.4842
BEST RESULT TILL NOW: val_unseen | Iter 159550 iter 159550, train , nav_error: 0.6694, oracle_error: 0.5236, steps: 26.1935, lengths: 10.2293, success_rate: 0.9429, oracle_rate: 0.9575, spl: 0.9223, val_seen , nav_error: 3.9667, oracle_error: 2.5937, steps: 35.1371, lengths: 13.5683, success_rate: 0.6259, oracle_rate: 0.7042, spl: 0.5869, val_unseen , nav_error: 4.9527, oracle_error: 3.0734, steps: 41.6492, lengths: 15.4474, success_rate: 0.5407, oracle_rate: 0.6326, spl: 0.4842
iter 159902, train , nav_error: 0.6837, oracle_error: 0.5300, steps: 26.4910, lengths: 10.2816, success_rate: 0.9412, oracle_rate: 0.9571, spl: 0.9198, val_seen , nav_error: 3.9982, oracle_error: 2.6298, steps: 35.6366, lengths: 13.3957, success_rate: 0.6190, oracle_rate: 0.6974, spl: 0.5829, val_unseen , nav_error: 4.8757, oracle_error: 3.0652, steps: 42.6837, lengths: 15.5694, success_rate: 0.5407, oracle_rate: 0.6343, spl: 0.4851
BEST RESULT TILL NOW: val_seen | Iter 159550 iter 159550, train , nav_error: 0.6694, oracle_error: 0.5236, steps: 26.1935, lengths: 10.2293, success_rate: 0.9429, oracle_rate: 0.9575, spl: 0.9223, val_seen , nav_error: 3.9667, oracle_error: 2.5937, steps: 35.1371, lengths: 13.5683, success_rate: 0.6259, oracle_rate: 0.7042, spl: 0.5869, val_unseen , nav_error: 4.9527, oracle_error: 3.0734, steps: 41.6492, lengths: 15.4474, success_rate: 0.5407, oracle_rate: 0.6326, spl: 0.4842
BEST RESULT TILL NOW: val_unseen | Iter 159902 iter 159902, train , nav_error: 0.6837, oracle_error: 0.5300, steps: 26.4910, lengths: 10.2816, success_rate: 0.9412, oracle_rate: 0.9571, spl: 0.9198, val_seen , nav_error: 3.9982, oracle_error: 2.6298, steps: 35.6366, lengths: 13.3957, success_rate: 0.6190, oracle_rate: 0.6974, spl: 0.5829, val_unseen , nav_error: 4.8757, oracle_error: 3.0652, steps: 42.6837, lengths: 15.5694, success_rate: 0.5407, oracle_rate: 0.6343, spl: 0.4851
iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
BEST RESULT TILL NOW: val_seen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
iter 160606, train , nav_error: 0.7002, oracle_error: 0.5393, steps: 26.5192, lengths: 10.3443, success_rate: 0.9406, oracle_rate: 0.9562, spl: 0.9186, val_seen , nav_error: 3.9838, oracle_error: 2.5895, steps: 37.6347, lengths: 14.2602, success_rate: 0.6259, oracle_rate: 0.7023, spl: 0.5842, val_unseen , nav_error: 4.9450, oracle_error: 3.0438, steps: 44.5368, lengths: 16.3240, success_rate: 0.5419, oracle_rate: 0.6454, spl: 0.4836
BEST RESULT TILL NOW: val_seen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
