iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
iter 161394, train , nav_error: 1.5128, oracle_error: 1.0296, steps: 28.4042, lengths: 11.1290, success_rate: 0.8538, oracle_rate: 0.8954, spl: 0.8167, val_seen , nav_error: 4.1862, oracle_error: 2.6560, steps: 35.3732, lengths: 13.6440, success_rate: 0.5916, oracle_rate: 0.6885, spl: 0.5480, val_unseen , nav_error: 4.9504, oracle_error: 3.0236, steps: 42.9970, lengths: 15.7181, success_rate: 0.5385, oracle_rate: 0.6496, spl: 0.4886
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 161394 iter 161394, train , nav_error: 1.5128, oracle_error: 1.0296, steps: 28.4042, lengths: 11.1290, success_rate: 0.8538, oracle_rate: 0.8954, spl: 0.8167, val_seen , nav_error: 4.1862, oracle_error: 2.6560, steps: 35.3732, lengths: 13.6440, success_rate: 0.5916, oracle_rate: 0.6885, spl: 0.5480, val_unseen , nav_error: 4.9504, oracle_error: 3.0236, steps: 42.9970, lengths: 15.7181, success_rate: 0.5385, oracle_rate: 0.6496, spl: 0.4886
iter 161746, train , nav_error: 1.5931, oracle_error: 1.1189, steps: 28.0835, lengths: 10.9090, success_rate: 0.8449, oracle_rate: 0.8842, spl: 0.8102, val_seen , nav_error: 4.1269, oracle_error: 2.7302, steps: 35.4711, lengths: 13.0338, success_rate: 0.6082, oracle_rate: 0.6895, spl: 0.5655, val_unseen , nav_error: 4.9856, oracle_error: 3.1325, steps: 40.5241, lengths: 14.6022, success_rate: 0.5390, oracle_rate: 0.6386, spl: 0.4934
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 161746 iter 161746, train , nav_error: 1.5931, oracle_error: 1.1189, steps: 28.0835, lengths: 10.9090, success_rate: 0.8449, oracle_rate: 0.8842, spl: 0.8102, val_seen , nav_error: 4.1269, oracle_error: 2.7302, steps: 35.4711, lengths: 13.0338, success_rate: 0.6082, oracle_rate: 0.6895, spl: 0.5655, val_unseen , nav_error: 4.9856, oracle_error: 3.1325, steps: 40.5241, lengths: 14.6022, success_rate: 0.5390, oracle_rate: 0.6386, spl: 0.4934
iter 162098, train , nav_error: 1.7244, oracle_error: 1.1987, steps: 28.3436, lengths: 10.9560, success_rate: 0.8308, oracle_rate: 0.8730, spl: 0.7951, val_seen , nav_error: 4.2170, oracle_error: 2.7673, steps: 34.2968, lengths: 12.7709, success_rate: 0.5926, oracle_rate: 0.6836, spl: 0.5579, val_unseen , nav_error: 5.0102, oracle_error: 3.1652, steps: 41.5790, lengths: 14.9477, success_rate: 0.5360, oracle_rate: 0.6335, spl: 0.4898
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
